example,intents,files
"[Flux123](nom_flux)","inform|lancer_flux_recrutement","flux_recrutement.yml"
"[Mon flux perso](nom_flux)","inform|lancer_flux_recrutement","flux_recrutement.yml"
"[Stage](nature_contrat)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"[Stage](nature_contrat) du [01/03/2025](date_debut) au [31/05/2025](date_fin)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"[Test - DSI](nom_flux)","inform|lancer_flux_recrutement","flux_recrutement.yml"
"[Validation RH Standard](nom_flux)","inform|lancer_flux_recrutement","flux_recrutement.yml"
"[Workflow RH 2024](nom_flux)","inform|lancer_flux_recrutement","flux_recrutement.yml"
"[externalisé](nature_contrat)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"[journalier](nature_contrat)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"[un](effectif) poste","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"[une](effectif) personne","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"affiche tout","afficher_informations|demander_liste_demandes","affiche_information.yml|consultation_demande.yml"
"contrat : [CDD](nature_contrat)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"contrat [Stage](nature_contrat) de [6 mois](duree_contrat)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"effectif : [10](effectif)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"en [CDD](nature_contrat)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"en [Stage](nature_contrat)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"pour [2](effectif) postes","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"un [CDD](nature_contrat)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"un [CDI](nature_contrat)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"un contrat de type [Stage](nature_contrat)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
"une [Stage](nature_contrat)","provide_contrat_info|provide_hierarchie_organisation","provide_contrat_info.yml|provide_hierarchie_organisation.yml"
